case_id,case_type,court,court_hierarchy,state,sector,filing_date,disposal_date,duration_months,claim_amount_lakhs,claimant_lawyer_win_rate,respondent_is_govt,respondent_is_psu,num_prior_adjournments,has_interim_order,represented_by_senior_counsel,favourable_outcome,disposal_category,realisation_pct
SYNTH-01182,Liquidation (IBC),High Court (Appeal),3,Delhi,Infrastructure,2011-12-22,2015-01-05,37,263.24,0.49,0,0,16,0,0,1,Decree in favour of plaintiff,51.85
SYNTH-01183,IP Infringement,Commercial Court,2,Rajasthan,Healthcare,2017-01-15,2018-07-09,18,44.3,0.78,0,0,13,1,0,1,Decree in favour of plaintiff,
SYNTH-01184,Partition,NCLAT,3,Rajasthan,Real Estate,2015-10-23,2017-12-11,26,3.11,0.39,0,1,7,0,0,1,Decree in favour of plaintiff,
SYNTH-01185,Civil Suit,Consumer Forum (State),2,Uttar Pradesh,Telecom,2021-06-28,2025-12-04,54,60.89,0.46,0,0,32,0,0,1,Settlement / Compromise,
SYNTH-01186,Writ (HC),NCLT,2,Uttar Pradesh,Banking & Finance,2017-06-27,2019-06-17,24,47.76,0.6,0,0,35,0,0,0,Withdrawn,
SYNTH-01187,Writ (HC),Consumer Forum (District),1,Karnataka,Healthcare,2014-04-13,2015-11-04,19,4.07,0.66,0,0,17,0,0,1,Settlement / Compromise,
SYNTH-01188,Injunction,Commercial Court,2,Telangana,Real Estate,2017-08-15,2021-09-23,50,58.09,0.5,0,0,27,0,0,1,Settlement / Compromise,
SYNTH-01189,Civil Suit,Supreme Court,4,Uttar Pradesh,Telecom,2010-03-11,2016-04-08,74,227.54,0.37,0,0,14,0,0,1,Settlement / Compromise,
SYNTH-01190,Labour / Employment,High Court (Appeal),3,Karnataka,Banking & Finance,2017-12-15,2020-01-04,25,111.08,0.74,0,0,12,0,0,1,Decree in favour of plaintiff,
SYNTH-01191,Liquidation (IBC),District Court,1,Tamil Nadu,Manufacturing,2010-11-20,2014-04-03,41,194.45,0.68,0,0,20,0,0,1,Decree in favour of plaintiff,11.72
SYNTH-01192,Injunction,NCLT,2,Rajasthan,Banking & Finance,2019-07-08,2021-08-26,26,18.89,0.8,0,0,22,1,0,1,Settlement / Compromise,
SYNTH-01193,Civil Suit,Supreme Court,4,Tamil Nadu,Retail,2019-12-16,2023-05-29,42,46.25,0.73,0,0,3,0,0,0,Decree in favour of defendant,
SYNTH-01194,Money Recovery,Commercial Court,2,Rajasthan,Others,2013-12-05,2015-02-28,15,193.06,0.53,0,0,10,0,1,0,Transferred,1.19
SYNTH-01195,Consumer Dispute,NCLAT,3,Maharashtra,Telecom,2017-02-08,2017-06-08,4,31.12,0.48,0,1,32,0,0,1,Decree in favour of plaintiff,
SYNTH-01196,Civil Suit,District Court,1,Maharashtra,Retail,2018-07-11,2020-10-28,28,4.73,0.69,0,0,22,0,0,0,Dismissed for default,
SYNTH-01197,Partition,NCLT,2,Gujarat,Real Estate,2011-11-23,2013-03-17,16,64.34,0.61,0,0,1,0,0,0,Dismissed on merits,
SYNTH-01198,IP Infringement,High Court (Original),3,Delhi,Others,2015-08-02,2021-04-02,69,87.34,0.35,1,0,8,0,0,1,Decree in favour of plaintiff,
SYNTH-01199,IP Infringement,High Court (Appeal),3,Karnataka,Infrastructure,2016-07-28,2019-02-13,31,108.19,0.45,0,0,11,1,0,0,Transferred,
SYNTH-01200,Money Recovery,NCLAT,3,Gujarat,Real Estate,2013-08-23,2014-10-17,14,19.26,0.27,0,0,23,0,0,0,Dismissed on merits,1.93
SYNTH-01201,Arbitration,District Court,1,Punjab,Energy,2010-08-22,2013-03-09,31,47.23,0.74,1,0,26,1,0,1,Decree in favour of plaintiff,
SYNTH-01202,Injunction,High Court (Original),3,West Bengal,Energy,2012-03-31,2014-08-18,29,13.22,0.26,0,1,4,1,0,0,Settlement / Compromise,
SYNTH-01203,Injunction,Consumer Forum (District),1,Punjab,Banking & Finance,2010-01-06,2012-03-26,27,7.57,0.42,0,0,8,1,0,0,Dismissed for default,
SYNTH-01204,CIRP (IBC),Consumer Forum (District),1,Maharashtra,Retail,2014-05-27,2016-10-13,29,12.14,0.32,0,0,9,1,1,1,Settlement / Compromise,20.49
SYNTH-01205,Writ (HC),NCLT,2,Punjab,Energy,2012-05-12,2013-09-04,16,236.9,0.39,0,0,19,1,0,0,Decree in favour of defendant,
SYNTH-01206,Writ (HC),Consumer Forum (State),2,Delhi,Retail,2015-12-26,2018-12-10,36,10.43,0.67,1,0,9,0,0,1,Decree in favour of plaintiff,
SYNTH-01207,Labour / Employment,District Court,1,Punjab,Telecom,2014-06-10,2017-09-22,40,16.94,0.79,1,0,15,1,0,1,Settlement / Compromise,
SYNTH-01208,IP Infringement,Consumer Forum (District),1,Punjab,IT / Technology,2017-09-18,2020-11-01,38,9.07,0.35,0,0,25,0,0,1,Decree in favour of plaintiff,
SYNTH-01209,CIRP (IBC),Consumer Forum (State),2,Telangana,Healthcare,2012-08-23,2016-03-05,43,208.39,0.66,0,0,21,1,0,1,Decree in favour of plaintiff,52.25
SYNTH-01210,Labour / Employment,Consumer Forum (District),1,West Bengal,Real Estate,2020-03-27,2020-11-22,8,5.46,0.61,0,0,33,1,0,0,Decree in favour of defendant,
SYNTH-01211,Injunction,Consumer Forum (State),2,Gujarat,IT / Technology,2012-02-14,2012-12-10,10,159.03,0.37,0,0,35,0,1,0,Decree in favour of defendant,
SYNTH-01212,Commercial Dispute,Consumer Forum (District),1,Tamil Nadu,Real Estate,2011-11-11,2012-06-08,7,31.23,0.78,0,0,32,1,0,1,Settlement / Compromise,
SYNTH-01213,Consumer Dispute,High Court (Appeal),3,Gujarat,Energy,2017-12-09,2022-03-18,52,72.08,0.54,0,0,33,0,0,0,Withdrawn,
SYNTH-01214,Consumer Dispute,High Court (Appeal),3,Karnataka,Energy,2021-11-27,2026-02-04,51,76.21,0.34,0,0,40,0,0,0,Withdrawn,
SYNTH-01215,IP Infringement,Supreme Court,4,West Bengal,Telecom,2014-07-15,2023-10-26,113,13.09,0.4,0,0,18,0,0,0,Withdrawn,
SYNTH-01216,Arbitration,Consumer Forum (District),1,Punjab,Others,2013-01-20,2014-03-16,14,17.13,0.65,0,1,35,0,0,1,Decree in favour of plaintiff,
SYNTH-01217,Civil Suit,Commercial Court,2,West Bengal,Retail,2019-03-16,2022-02-28,36,210.73,0.33,0,0,15,0,1,1,Decree in favour of plaintiff,
SYNTH-01218,Partition,High Court (Appeal),3,Karnataka,Manufacturing,2017-11-10,2022-02-17,52,322.22,0.29,0,0,25,1,0,0,Decree in favour of defendant,
SYNTH-01219,Injunction,Consumer Forum (District),1,Punjab,Telecom,2016-03-06,2017-01-30,11,665.7,0.67,1,0,19,0,0,1,Settlement / Compromise,
SYNTH-01220,Appeal (HC),High Court (Appeal),3,Gujarat,IT / Technology,2019-10-31,2027-02-21,89,164.59,0.41,1,0,29,1,0,1,Settlement / Compromise,
SYNTH-01221,Commercial Dispute,District Court,1,Maharashtra,Banking & Finance,2015-09-24,2025-04-04,116,4.55,0.31,0,0,31,0,0,0,Transferred,
SYNTH-01222,Partition,NCLAT,3,Telangana,IT / Technology,2021-02-03,2022-02-28,13,18.12,0.71,0,0,40,1,0,0,Dismissed for default,
SYNTH-01223,Arbitration,Consumer Forum (State),2,Tamil Nadu,Others,2019-05-31,2022-09-12,40,11.3,0.62,0,0,0,1,0,0,Withdrawn,
SYNTH-01224,Partition,Consumer Forum (District),1,West Bengal,Others,2019-09-24,2022-02-10,29,426.58,0.62,1,0,31,0,0,0,Decree in favour of defendant,
SYNTH-01225,IP Infringement,Consumer Forum (State),2,Tamil Nadu,Healthcare,2018-08-01,2021-10-14,39,83.57,0.27,1,0,6,0,1,0,Decree in favour of defendant,
SYNTH-01226,IP Infringement,Supreme Court,4,Uttar Pradesh,Real Estate,2018-10-31,2021-10-15,36,15.33,0.65,1,0,28,0,0,1,Decree in favour of plaintiff,
SYNTH-01227,IP Infringement,Supreme Court,4,Telangana,Retail,2019-09-08,2028-11-19,112,175.74,0.62,1,0,1,0,0,1,Settlement / Compromise,
SYNTH-01228,Consumer Dispute,District Court,1,Telangana,Telecom,2020-03-29,2024-02-07,47,29.17,0.72,0,0,22,0,0,0,Decree in favour of defendant,
SYNTH-01229,Arbitration,District Court,1,Uttar Pradesh,Healthcare,2020-04-11,2021-09-03,17,10.95,0.63,0,0,10,1,0,0,Dismissed on merits,
SYNTH-01230,Labour / Employment,Supreme Court,4,Tamil Nadu,Healthcare,2017-10-26,2030-08-19,156,8.0,0.68,0,0,5,1,0,1,Settlement / Compromise,
SYNTH-01231,Money Recovery,NCLT,2,Rajasthan,Healthcare,2012-01-11,2014-08-28,32,247.44,0.6,0,0,11,0,0,1,Settlement / Compromise,34.99
SYNTH-01232,Labour / Employment,NCLAT,3,Telangana,Energy,2019-10-27,2023-09-06,47,4.47,0.74,0,0,20,1,1,1,Settlement / Compromise,
SYNTH-01233,Specific Performance,Consumer Forum (State),2,West Bengal,IT / Technology,2013-12-28,2017-11-07,47,42.13,0.47,0,0,5,0,0,1,Settlement / Compromise,
SYNTH-01234,Consumer Dispute,High Court (Original),3,Telangana,Others,2017-08-18,2021-11-25,52,105.84,0.54,0,0,6,0,0,1,Settlement / Compromise,
SYNTH-01235,Arbitration,Commercial Court,2,Tamil Nadu,Manufacturing,2015-01-16,2016-05-10,16,76.98,0.49,1,0,17,1,0,0,Decree in favour of defendant,
SYNTH-01236,CIRP (IBC),High Court (Appeal),3,Uttar Pradesh,Energy,2014-11-05,2016-02-28,16,134.95,0.33,0,0,39,0,0,1,Settlement / Compromise,27.39
SYNTH-01237,Commercial Dispute,High Court (Appeal),3,Gujarat,IT / Technology,2014-03-05,2020-05-02,75,14.56,0.72,0,0,24,0,0,1,Settlement / Compromise,
SYNTH-01238,Arbitration,Supreme Court,4,Gujarat,Manufacturing,2018-03-06,2021-08-17,42,323.79,0.75,0,0,22,1,0,0,Withdrawn,
SYNTH-01239,Writ (HC),Consumer Forum (State),2,Punjab,Manufacturing,2012-11-20,2017-07-27,57,38.2,0.3,0,0,30,0,1,0,Settlement / Compromise,
SYNTH-01240,Consumer Dispute,NCLAT,3,Maharashtra,Infrastructure,2015-01-09,2016-07-02,18,14.06,0.51,0,1,39,0,0,0,Dismissed on merits,
SYNTH-01241,Liquidation (IBC),District Court,1,Telangana,Others,2020-01-22,2027-02-14,86,148.14,0.56,1,0,9,1,0,0,Dismissed on merits,0.68
SYNTH-01242,Consumer Dispute,NCLT,2,Rajasthan,IT / Technology,2010-08-14,2013-04-30,33,143.99,0.64,0,0,8,0,0,0,Transferred,
SYNTH-01243,Consumer Dispute,Consumer Forum (State),2,Punjab,Healthcare,2016-10-31,2018-11-20,25,14.74,0.43,0,0,26,1,0,1,Decree in favour of plaintiff,
SYNTH-01244,Writ (HC),District Court,1,Karnataka,Manufacturing,2011-03-10,2017-04-07,74,161.05,0.64,0,0,4,0,0,1,Decree in favour of plaintiff,
SYNTH-01245,Writ (HC),High Court (Appeal),3,West Bengal,Others,2014-01-09,2016-02-28,26,417.03,0.71,1,0,7,1,1,1,Decree in favour of plaintiff,
SYNTH-01246,Labour / Employment,Supreme Court,4,West Bengal,IT / Technology,2019-02-21,2027-12-06,107,66.78,0.46,0,0,11,1,0,0,Dismissed for default,
SYNTH-01247,Money Recovery,Consumer Forum (District),1,Maharashtra,Energy,2014-02-20,2015-10-13,20,125.35,0.39,0,0,40,1,0,1,Settlement / Compromise,57.33
SYNTH-01248,Civil Suit,NCLT,2,Delhi,Real Estate,2011-05-14,2012-06-07,13,520.68,0.79,1,0,10,1,0,1,Decree in favour of plaintiff,
SYNTH-01249,Commercial Dispute,NCLAT,3,Punjab,Telecom,2016-11-13,2018-02-06,15,39.75,0.27,0,0,4,0,1,0,Settlement / Compromise,
SYNTH-01250,Liquidation (IBC),High Court (Original),3,Rajasthan,Infrastructure,2014-11-24,2017-01-12,26,35.44,0.79,1,0,9,0,0,1,Settlement / Compromise,36.58
SYNTH-01251,Injunction,Consumer Forum (State),2,Telangana,Banking & Finance,2019-12-26,2022-09-11,33,16.01,0.27,1,0,7,0,0,1,Settlement / Compromise,
SYNTH-01252,Appeal (HC),NCLAT,3,Gujarat,Telecom,2014-01-17,2014-08-15,7,333.26,0.57,0,1,12,0,0,0,Withdrawn,
SYNTH-01253,IP Infringement,Consumer Forum (State),2,Tamil Nadu,Telecom,2018-09-21,2022-09-30,49,16.64,0.68,0,0,4,1,0,0,Dismissed for default,
SYNTH-01254,Labour / Employment,High Court (Appeal),3,Punjab,Banking & Finance,2019-01-25,2021-11-10,34,13.8,0.27,1,0,30,0,0,0,Settlement / Compromise,
SYNTH-01255,Money Recovery,Consumer Forum (State),2,Tamil Nadu,IT / Technology,2017-03-10,2019-10-26,32,733.68,0.75,0,0,33,0,0,1,Settlement / Compromise,69.53
SYNTH-01256,Injunction,NCLAT,3,Delhi,Telecom,2020-01-18,2021-10-09,21,166.93,0.67,0,0,25,0,1,0,Settlement / Compromise,
SYNTH-01257,Arbitration,Commercial Court,2,Uttar Pradesh,Real Estate,2020-11-09,2024-11-18,49,27.4,0.59,0,0,18,0,0,1,Decree in favour of plaintiff,
SYNTH-01258,Money Recovery,High Court (Appeal),3,Uttar Pradesh,Real Estate,2016-11-20,2018-04-14,17,261.88,0.74,0,0,11,0,0,1,Settlement / Compromise,73.79
SYNTH-01259,Specific Performance,District Court,1,Karnataka,Energy,2018-08-20,2021-01-06,29,15.18,0.35,0,1,27,0,0,0,Withdrawn,
SYNTH-01260,Appeal (HC),NCLAT,3,Tamil Nadu,Telecom,2011-01-02,2012-06-25,18,320.77,0.75,1,0,14,0,1,1,Settlement / Compromise,
SYNTH-01261,Writ (HC),High Court (Appeal),3,Tamil Nadu,Healthcare,2010-05-08,2021-02-09,131,146.36,0.27,0,0,7,0,1,0,Transferred,
SYNTH-01262,Commercial Dispute,High Court (Original),3,Telangana,Retail,2015-02-14,2016-09-06,19,1049.74,0.45,0,1,9,0,0,0,Dismissed for default,
SYNTH-01263,Partition,NCLT,2,Rajasthan,IT / Technology,2016-02-12,2018-07-01,29,15.54,0.48,1,0,24,1,0,1,Settlement / Compromise,
SYNTH-01264,Appeal (HC),District Court,1,Karnataka,Telecom,2018-11-14,2021-02-01,27,191.42,0.27,0,0,14,1,1,1,Settlement / Compromise,
SYNTH-01265,Injunction,Commercial Court,2,Punjab,IT / Technology,2017-05-05,2019-07-24,27,91.62,0.34,0,0,25,1,0,1,Settlement / Compromise,
SYNTH-01266,Labour / Employment,Commercial Court,2,Karnataka,Energy,2012-09-05,2016-05-17,45,16.39,0.47,0,0,5,0,0,0,Transferred,
SYNTH-01267,CIRP (IBC),District Court,1,Maharashtra,Manufacturing,2020-09-27,2028-07-17,95,25.06,0.31,0,0,11,1,0,0,Dismissed on merits,0.32
SYNTH-01268,Writ (HC),Supreme Court,4,Tamil Nadu,Manufacturing,2018-04-27,2020-01-17,21,183.72,0.49,1,0,2,0,0,0,Withdrawn,
SYNTH-01269,Civil Suit,NCLAT,3,Delhi,Retail,2010-04-27,2011-06-21,14,43.24,0.77,0,0,11,0,0,1,Settlement / Compromise,
SYNTH-01270,Injunction,Supreme Court,4,Rajasthan,Banking & Finance,2016-07-18,2023-10-10,88,248.54,0.53,0,0,21,0,0,0,Transferred,
SYNTH-01271,Writ (HC),High Court (Appeal),3,West Bengal,Energy,2021-11-08,2028-03-06,77,9.37,0.41,0,0,20,1,0,1,Decree in favour of plaintiff,
SYNTH-01272,Civil Suit,Consumer Forum (State),2,Delhi,Others,2013-10-23,2018-06-29,57,22.91,0.65,0,1,6,0,1,0,Withdrawn,
SYNTH-01273,IP Infringement,District Court,1,Delhi,Telecom,2018-09-10,2019-12-04,15,9.32,0.67,1,0,40,1,0,1,Settlement / Compromise,
SYNTH-01274,Specific Performance,Supreme Court,4,Rajasthan,Telecom,2018-09-04,2024-02-05,66,12.58,0.5,0,0,39,1,0,0,Settlement / Compromise,
SYNTH-01275,CIRP (IBC),High Court (Original),3,Gujarat,Real Estate,2018-01-29,2020-11-14,34,90.68,0.37,0,0,24,0,0,0,Transferred,0.25
SYNTH-01276,Labour / Employment,Supreme Court,4,Karnataka,Healthcare,2016-09-22,2018-05-15,20,2.47,0.33,0,0,34,0,0,0,Transferred,
SYNTH-01277,Commercial Dispute,High Court (Appeal),3,West Bengal,Infrastructure,2019-06-12,2021-10-29,29,13.58,0.74,0,0,24,0,0,0,Decree in favour of defendant,
SYNTH-01278,Partition,Consumer Forum (State),2,West Bengal,Healthcare,2015-07-09,2017-06-28,24,39.65,0.37,0,0,39,0,0,1,Settlement / Compromise,
SYNTH-01279,Partition,NCLT,2,Punjab,Retail,2018-10-24,2022-10-03,48,587.11,0.33,1,0,19,0,0,0,Settlement / Compromise,
SYNTH-01280,Partition,District Court,1,Delhi,Manufacturing,2014-11-15,2017-02-02,27,1084.91,0.44,0,0,33,0,0,0,Withdrawn,
SYNTH-01281,Writ (HC),Supreme Court,4,Tamil Nadu,Infrastructure,2013-11-12,2017-02-24,40,70.72,0.4,0,0,9,0,0,1,Settlement / Compromise,
SYNTH-01282,Arbitration,Supreme Court,4,Punjab,Energy,2020-07-05,2026-11-01,77,2136.39,0.39,0,0,31,1,0,1,Settlement / Compromise,
SYNTH-01283,Appeal (HC),District Court,1,Gujarat,Manufacturing,2012-03-06,2015-02-19,36,3.69,0.68,1,1,3,1,1,0,Withdrawn,
SYNTH-01284,Partition,High Court (Original),3,Gujarat,Infrastructure,2016-11-24,2023-01-22,75,15.64,0.71,0,0,37,0,0,1,Settlement / Compromise,
SYNTH-01285,Specific Performance,NCLT,2,Punjab,Retail,2012-04-11,2014-05-01,25,10.21,0.69,0,0,10,0,0,1,Settlement / Compromise,
SYNTH-01286,Liquidation (IBC),High Court (Original),3,Karnataka,Telecom,2020-07-13,2022-12-30,30,15.48,0.63,0,0,15,0,0,0,Withdrawn,0.17
SYNTH-01287,Labour / Employment,Commercial Court,2,Gujarat,Telecom,2010-11-19,2014-02-01,39,80.04,0.32,0,0,10,0,0,0,Settlement / Compromise,
SYNTH-01288,CIRP (IBC),High Court (Original),3,Maharashtra,Infrastructure,2010-06-12,2011-08-06,14,216.93,0.78,0,0,21,0,0,0,Settlement / Compromise,6.19
SYNTH-01289,Writ (HC),High Court (Original),3,Maharashtra,Healthcare,2016-09-24,2019-10-09,37,40.19,0.62,0,0,12,0,0,0,Dismissed for default,
SYNTH-01290,Civil Suit,Consumer Forum (District),1,Delhi,Telecom,2019-05-16,2021-10-02,29,17.18,0.8,0,0,32,1,0,0,Settlement / Compromise,
SYNTH-01291,Injunction,NCLAT,3,Rajasthan,Banking & Finance,2011-03-03,2012-04-26,14,39.15,0.61,0,0,27,1,0,0,Dismissed on merits,
SYNTH-01292,Liquidation (IBC),NCLAT,3,Rajasthan,Retail,2010-09-15,2011-07-12,10,17.56,0.32,0,0,36,1,0,0,Dismissed for default,6.18
SYNTH-01293,Civil Suit,Supreme Court,4,Gujarat,IT / Technology,2016-01-24,2025-01-06,109,87.86,0.63,0,0,27,0,0,1,Settlement / Compromise,
SYNTH-01294,Partition,Consumer Forum (State),2,Uttar Pradesh,Banking & Finance,2020-12-18,2023-03-08,27,15.69,0.4,1,0,5,0,0,1,Settlement / Compromise,
SYNTH-01295,Labour / Employment,District Court,1,Tamil Nadu,Banking & Finance,2012-11-18,2019-08-14,82,104.61,0.69,1,1,23,1,0,0,Settlement / Compromise,
SYNTH-01296,Civil Suit,Commercial Court,2,Rajasthan,Healthcare,2010-04-21,2011-08-14,16,210.18,0.66,0,0,4,1,0,0,Decree in favour of defendant,
SYNTH-01297,Writ (HC),Commercial Court,2,Maharashtra,Real Estate,2012-09-26,2015-04-14,31,16.11,0.28,1,0,5,1,0,0,Dismissed on merits,
SYNTH-01298,Labour / Employment,Supreme Court,4,Tamil Nadu,Telecom,2015-03-25,2019-11-29,57,26.07,0.37,0,0,40,0,0,1,Settlement / Compromise,
SYNTH-01299,CIRP (IBC),High Court (Original),3,Karnataka,Manufacturing,2016-06-17,2027-06-20,134,121.22,0.65,0,0,28,1,1,0,Dismissed on merits,6.86
SYNTH-01300,Injunction,NCLT,2,Tamil Nadu,Infrastructure,2014-04-01,2021-01-24,83,22.54,0.63,0,1,11,0,0,1,Settlement / Compromise,
SYNTH-01301,Appeal (HC),Supreme Court,4,Tamil Nadu,Energy,2016-08-27,2024-02-17,91,42.0,0.58,0,0,27,1,0,1,Settlement / Compromise,
SYNTH-01302,Appeal (HC),District Court,1,Punjab,Retail,2015-08-24,2017-12-11,28,8.19,0.4,0,1,31,1,0,0,Withdrawn,
SYNTH-01303,Appeal (HC),Commercial Court,2,Punjab,Banking & Finance,2020-01-02,2024-03-11,51,66.52,0.26,0,1,37,0,0,0,Dismissed for default,
SYNTH-01304,Consumer Dispute,NCLT,2,Uttar Pradesh,Manufacturing,2017-02-26,2018-12-18,22,38.42,0.5,0,0,31,1,0,0,Decree in favour of defendant,
SYNTH-01305,Writ (HC),High Court (Appeal),3,West Bengal,Telecom,2013-10-29,2018-12-02,62,35.16,0.27,0,0,29,1,0,1,Decree in favour of plaintiff,
SYNTH-01306,CIRP (IBC),Consumer Forum (District),1,West Bengal,Infrastructure,2013-06-04,2014-03-01,9,89.01,0.33,0,0,1,0,0,0,Transferred,0.94
SYNTH-01307,Arbitration,Supreme Court,4,Maharashtra,Real Estate,2010-04-25,2019-08-06,113,75.15,0.49,0,0,9,0,1,0,Transferred,
SYNTH-01308,CIRP (IBC),Supreme Court,4,Uttar Pradesh,IT / Technology,2013-05-12,2022-06-24,111,129.09,0.4,0,0,10,1,0,0,Dismissed on merits,2.41
SYNTH-01309,Partition,High Court (Appeal),3,Gujarat,Banking & Finance,2020-11-29,2024-02-12,39,7.27,0.58,0,0,10,0,0,0,Settlement / Compromise,
SYNTH-01310,Arbitration,Commercial Court,2,Delhi,IT / Technology,2020-09-10,2023-02-27,30,285.54,0.58,1,0,31,0,0,1,Decree in favour of plaintiff,
SYNTH-01311,Arbitration,High Court (Original),3,Gujarat,Infrastructure,2016-12-19,2024-09-08,94,446.13,0.63,0,0,8,0,0,0,Transferred,
SYNTH-01312,Writ (HC),NCLAT,3,Gujarat,Telecom,2020-08-15,2022-07-06,23,5.38,0.28,0,0,13,0,0,1,Settlement / Compromise,
SYNTH-01313,Liquidation (IBC),NCLT,2,Punjab,Manufacturing,2017-08-23,2020-04-09,32,22.45,0.57,0,0,8,0,0,0,Decree in favour of defendant,1.85
SYNTH-01314,IP Infringement,High Court (Appeal),3,Karnataka,Others,2015-08-03,2018-03-20,32,23.99,0.52,0,1,32,0,0,0,Dismissed on merits,
SYNTH-01315,Money Recovery,NCLAT,3,Tamil Nadu,IT / Technology,2021-11-14,2022-12-09,13,44.53,0.52,0,0,17,1,0,0,Dismissed on merits,22.36
SYNTH-01316,Arbitration,High Court (Original),3,Karnataka,IT / Technology,2011-04-29,2019-07-16,100,40.58,0.51,0,1,22,0,0,0,Transferred,
SYNTH-01317,CIRP (IBC),NCLAT,3,Maharashtra,IT / Technology,2017-01-17,2018-08-10,19,18.33,0.58,0,0,12,0,0,1,Settlement / Compromise,22.31
SYNTH-01318,Consumer Dispute,District Court,1,Delhi,IT / Technology,2014-05-16,2024-06-22,123,124.02,0.54,0,0,24,0,0,0,Settlement / Compromise,
SYNTH-01319,Partition,NCLT,2,Karnataka,Telecom,2013-03-26,2015-10-12,31,1281.15,0.41,1,0,26,1,0,0,Dismissed on merits,
SYNTH-01320,Liquidation (IBC),Supreme Court,4,Punjab,Telecom,2013-07-09,2020-02-03,80,26.26,0.58,0,0,17,0,1,0,Transferred,0.22
SYNTH-01321,Injunction,NCLT,2,Gujarat,Retail,2012-11-18,2013-12-13,13,65.33,0.43,1,1,20,0,0,0,Decree in favour of defendant,
SYNTH-01322,Civil Suit,Consumer Forum (State),2,Punjab,Real Estate,2019-09-28,2022-05-15,32,66.46,0.61,0,0,2,0,0,0,Dismissed on merits,
SYNTH-01323,Civil Suit,Consumer Forum (State),2,Tamil Nadu,Banking & Finance,2012-12-16,2014-11-06,23,11.96,0.52,0,0,6,0,0,0,Transferred,
SYNTH-01324,Arbitration,NCLAT,3,West Bengal,Infrastructure,2017-08-02,2018-07-28,12,63.63,0.29,0,1,25,0,0,0,Dismissed on merits,
SYNTH-01325,IP Infringement,Consumer Forum (State),2,Uttar Pradesh,Real Estate,2012-01-03,2013-04-27,16,776.85,0.7,0,0,16,1,1,1,Decree in favour of plaintiff,
SYNTH-01326,Appeal (HC),District Court,1,Gujarat,Healthcare,2015-01-22,2016-01-17,12,33.61,0.51,1,0,9,0,1,0,Dismissed for default,
SYNTH-01327,Labour / Employment,Supreme Court,4,Punjab,Real Estate,2018-11-17,2024-01-20,63,116.88,0.26,0,0,26,0,1,1,Decree in favour of plaintiff,
SYNTH-01328,Partition,High Court (Appeal),3,West Bengal,Manufacturing,2021-01-09,2023-02-28,26,299.3,0.25,0,0,23,0,0,0,Decree in favour of defendant,
SYNTH-01329,Liquidation (IBC),High Court (Original),3,Tamil Nadu,Others,2010-03-02,2011-07-25,17,23.35,0.75,0,0,35,0,0,0,Decree in favour of defendant,0.32
SYNTH-01330,Arbitration,NCLT,2,Uttar Pradesh,Retail,2014-05-23,2016-03-13,22,6.65,0.43,0,0,18,0,0,0,Dismissed for default,
SYNTH-01331,Injunction,High Court (Appeal),3,Telangana,Manufacturing,2012-07-12,2025-06-04,157,14.21,0.27,0,0,13,1,0,0,Decree in favour of defendant,
SYNTH-01332,Arbitration,NCLT,2,Delhi,Manufacturing,2020-05-27,2021-08-20,15,116.06,0.28,0,0,16,1,1,0,Withdrawn,
SYNTH-01333,IP Infringement,High Court (Original),3,Karnataka,Telecom,2017-06-28,2019-12-15,30,25.94,0.36,0,0,20,0,0,0,Withdrawn,
SYNTH-01334,Liquidation (IBC),Consumer Forum (District),1,Delhi,Others,2016-05-26,2018-07-15,26,5.52,0.69,0,0,4,0,0,1,Decree in favour of plaintiff,43.59
SYNTH-01335,IP Infringement,District Court,1,Maharashtra,Real Estate,2010-04-02,2019-06-14,112,3.97,0.77,0,0,24,0,0,1,Settlement / Compromise,
SYNTH-01336,Partition,NCLAT,3,Delhi,Banking & Finance,2014-04-12,2016-02-01,22,111.4,0.78,0,0,17,0,1,0,Withdrawn,
SYNTH-01337,Injunction,NCLT,2,Delhi,Telecom,2015-11-23,2017-07-15,20,103.19,0.5,0,0,13,1,0,1,Settlement / Compromise,
SYNTH-01338,Civil Suit,High Court (Original),3,Delhi,Others,2012-07-11,2018-02-10,68,1.96,0.3,0,0,37,0,0,0,Transferred,
SYNTH-01339,Money Recovery,Consumer Forum (District),1,West Bengal,Infrastructure,2013-06-09,2015-06-29,25,1.3,0.37,0,0,2,0,0,0,Dismissed on merits,18.8
SYNTH-01340,Writ (HC),District Court,1,Telangana,Real Estate,2010-12-27,2013-07-14,31,22.81,0.61,0,0,18,0,0,1,Decree in favour of plaintiff,
SYNTH-01341,IP Infringement,NCLT,2,West Bengal,Energy,2014-03-21,2015-07-14,16,40.57,0.38,0,1,2,0,0,0,Withdrawn,
SYNTH-01342,Labour / Employment,Consumer Forum (District),1,Rajasthan,Energy,2015-03-12,2019-10-17,56,3.5,0.64,0,0,5,0,0,0,Dismissed on merits,
SYNTH-01343,Arbitration,High Court (Original),3,West Bengal,Healthcare,2018-04-30,2020-01-20,21,516.02,0.65,0,0,40,1,1,0,Withdrawn,
SYNTH-01344,Arbitration,Consumer Forum (District),1,Maharashtra,Others,2016-07-23,2020-08-31,50,46.75,0.33,0,0,34,0,0,1,Settlement / Compromise,
SYNTH-01345,Injunction,NCLT,2,Delhi,Healthcare,2017-06-19,2018-10-12,16,1266.19,0.76,0,0,34,0,1,0,Withdrawn,
